id,nombre,resumen_salidas
155,Nutricion Humana y Dietetica,"Los dietistas-nutricionistas se ocupan del asesoramiento y gestión de la alimentación humana, investigación sobre alimentos y su impacto en el cuerpo humano. Pueden trabajar en hospitales, clínicas, residencias, escuelas, laboratorios de control de calidad de alimentos y empresas del sector alimentario."
156,Odontologia,"Un odontólogo puede trabajar en clínicas, hospitales o empresa privada, y también ejercer por cuenta propia. Se ocupa de prevención, diagnóstico y tratamiento de enfermedades bucodentales como limpieza, empaste, extracción de dientes y construcción de implantes dentales."
157,Optica y Optometria,"Graduado en óptica optometría, puede trabajar en centros de óptica, estudios y laboratorios. Está capacitado para evaluar capacidades visuales, medir rendimiento visual y prevenir problemas visuales."
158,Podologia,"Podólogos se ocupan de prevención y tratamiento de enfermedades del pie sin necesidad de médico, pueden trabajar en centros sanitarios o como profesionales autónomos."
159,Psicologia,"Los psicólogos evalúan y tratan comportamientos, características y habilidades. Trabajan en centros de salud mental, hospitales, escuelas, empresas y organismos públicos. También pueden trabajar en investigación, docencia y dirección de programas."
160,Terapia Ocupacional,"Los graduados pueden trabajar en centros de atención psiquiátrica, educación especial y más. Realizan rehabilitación terapéutica y evaluaciones para enfermos o incapacitados."
161,Veterinaria,"Profesionales que mejoran el rendimiento animal, vigilan productos alimenticios y prestan asistencia veterinaria en industrias, explotaciones ganaderas y sanidad pública."
162,Arquitectura,"Arquitectos pueden trabajar en proyectos de edificación, urbanismo, gestión urbana, consultorías técnicas y asesoramiento. Se desempeñan en estudios de arquitectura, empresas inmobiliarias, promotoras, constructoras y administraciones públicas."
163,Fundamentos de Arquitectura y Urbanismo,El grado en Arquitectura tiene un requisito adicional de superar un máster para obtener el título.
164,Arquitectura Tecnica y Edificacion,"Ingeniero de la Edificación: lleva a cabo proyectos arquitectónicos, gestiona economía y seguridad en obras, dirige ejecución y controla calidad de materiales."
165,Arquitectura Naval,"El grado en Ingeniería Naval ofrece preparación para trabajar en Administración, empresas privadas y docencia. Los graduados son valorados en campos como construcción naval, inspección marítima y energías alternativas."
166,Ingenieria Maritima,Título de grado en Ingeniería Marítima permite funciones en ámbito marítimo y otras industrias. Da acceso a títulos de Máster Universitario y ejercicio de la profesión de Ingeniero Técnico Naval.
167,Ingenieria Geomatica,"Los graduados en Ingeniería Geomática pueden ejercer como ingenieros técnicos en topografía y trabajar en cartografía, fotogrametría, teledetección, topografía, sistemas de información geográfica, construcción, minería, medio ambiente y docencia."
168,Ingenieria de las Tecnologias de la Informacion Geoespacial,"Especialistas en cartografía y análisis geográfico, incluyendo diseñadores UX, desarrolladores FrontEnd, analistas de tendencias y especialistas en teledetección. También se mencionan roles como administrador de bases de datos espaciales, ingeniero DevOps y desarrollador de soluciones Cloud."
169,Gestion y Operaciones del Transporte Aereo,"Formación general y específica para controladores de tráfico aéreo, operadores de aeronaves y gestores de compañías aéreas. Licencias otorgadas por la autoridad aeronáutica para trabajar en el espacio aéreo europeo."
170,Ingenieria en Tecnologias Aeroespaciales,"Grado en Ing. Aeroespacial sin atribuciones iniciales, pero con acceso directo a un Máster Universitario en Ingeniería Aeronáutica y ejercicio de la profesión con atribuciones posteriores."
171,Ingenieria Agricola,"El título permite actuar en producción vegetal, animal y diseño de espacios verdes. Se puede aplicar a proyectos de construcción e infraestructuras agrícolas y ganaderas. Da acceso al ejercicio de la profesión de Ingeniero Técnico Agrícola."
172,Ingenieria Agroambiental,"El Grado en Ingeniería Agroambiental ofrece acceso al Máster en Ingeniería Agronómica, abarcando campos como biotecnología, industria agroalimentaria, agua, zonas áridas y política agraria. Los graduados pueden desarrollar funciones como directores de industrias agrícolas, técnicos de I+D, asesores agrarios y analistas de componentes químicos."
173,Ingenieria Alimentaria,"Los titulados en alimentación trabajan en industrias, laboratorios y organizaciones, realizando estudios sobre composición y obtención de alimentos. Pueden ser especialistas en nutrición, técnicos de sanidad o responsables de control de calidad."
174,Ingenieria Forestal,"Estudio del aprovechamiento forestal, evaluación de impacto ambiental, repoblación y tratamientos selvícolas. Actividad profesional en explotaciones forestales e industrias relacionadas."
175,Ingenieria del Medio Natural © Comunidad de Madrid. Edicion:,"Capacitados en planificación, dirección y ejecución de estudios ambientales. Integración en equipos multidisciplinares para proyectos de medidas correctoras y vigilancia ambiental."
176,Ingenieria Ambiental,"Prevenir daños ambientales, proteger el entorno y mejorar la calidad ambiental, diseñar instalaciones eficientes y proponer tecnologías limpias para minimizar emisiones y reciclar recursos."
177,Ingenieria Quimica,"Los ingenieros químicos trabajan en diversas industrias, aplicando conocimientos para solucionar problemas eficientemente. Trabajan en proyectos de gestión, mejora de técnicas y resolución de problemas ambientales. Son profesionales versátiles y adaptados a un mercado laboral que pide esta clase de perfil."
178,Ingenieria Biomedica,"Profesional que diseña, construye y pone en marcha equipos médicos, incluyendo instrumental y programación. Participa en la venta y marketing de equipos biomédicos, entrena personal médico y técnico, mantiene y repara equipos y verifica normas de seguridad."
179,Ingenieria Civil en Construcciones Civiles,"Ingenieros civiles que se ocupan de obras, transporte, peritajes y mantenimiento. Trabajan en ingeniería, construcción, prefabricados y administraciones públicas."
180,Ingenieria Civil y Territorial,"Investigan, diseñan y supervisan construcciones de puentes, carreteras, vías férreas y sistemas de defensa contra inundaciones. También planifican transporte, gestionan recursos y asesoran urbanísticamente."
181,Transporte y Logistica,Graduados en transporte y logística para empresas de pasajeros y mercancías terrestre-marítimo-aéreo y operadores logísticos.
182,Ingenieria en Diseno Industrial y Desarrollo de Producto,"Ingenieros industriales diseñan productos y resuelven problemas en departamentos de diseño, investigación y desarrollo de empresas de construcción, mecánica, metalurgia, automoción e informática."
183,Ingenieria en Organizacion Industrial,"Egresados en Ingeniería de Organización/Industrial trabajan en puestos de responsabilidad en empresas, como directores, gestores de procesos y proyectos, o responsables de áreas como producción, mantenimiento, calidad, logística e I+D. También se desempeñan en consultoría, marketing y dirección comercial en el sector servicios."
184,Ingenieria Electrica,"Técnicos de energía eléctrica - Diseño, generación y distribución de energía eléctrica. Centrales eléctricas, industria química, metalúrgica, etc."
185,Ingenieria en Electronica y Automatica Industrial,"Profesionales que controlan y programan robots, sistemas de procesos y métodos de optimización. Trabajan en consultorías, empresas eléctricas, informáticas y mecánicas."
186,Ingenieria Mecanica,"Diseñan piezas para máquinas, estudian materiales y comportamiento, realizan análisis cinemáticos y dinámicos, calculan instalaciones industriales en sectores como mecánico, metalúrgico y químico."
187,Ingenieria en Industria Conectada,"Profesionales en automatización industrial, análisis de datos, visión artificial, ciberseguridad, sistemas inteligentes y IoT."
188,Ingenieria en Sistemas Industriales,"Capacitado para trabajar en administración pública o sector privado. Desarrollo de productos, mejora de procesos, cálculo e instalaciones, innovación, dirección y planificación."
189,Ingenieria en Tecnologias Industriales,"Graduado en Ingeniería en Tecnologías Industriales puede ser responsable de proyectos, productos o operaciones; consultor, asesor, director general o técnico en organizaciones; y también puede trabajar en planificación estratégica, calidad, producción y gestión medioambiental."
190,Ingenieria de la Energia,"Ingeniero de la Energía con buenas perspectivas laborales en sectores informático, químico y energético. Puede trabajar en empresas, administraciones o crear su propia empresa."
191,"Ingenieria de los Recursos Energeticos, Combustibles y Explosivos","Investigación minera, gestión energética, espacio subterráneo, conservación ambiental y proyectos de excavación."
192,Ingenieria en Tecnologia Minera Estos,"Investigación, valoración de recursos minerales, gestión energética y espacio subterráneo. Actividad en industria extractiva, siderurgia, metalurgia, construcción, química y reciclaje."
193,Ingenieria Geologica,"Ingenieros Geólogos analizan terrenos, estudian recursos naturales y abastecimiento de agua. Pueden ser jefes de tratamientos hidrológicos o asesores ambientales en explotaciones mineras, petrolíferas o urbanísticas."
194,Ingenieria Matematica,"La sociedad española necesita técnicas matemáticas para competir en un entorno eficiente, especialmente en Madrid donde se encuentran importantes empresas. La Ingeniería Matemática ofrece salidas profesionales como consultoría, banca y finanzas."
195,Ingenieria en Matematica Aplicada al Analisis de Datos,"Un data scientist analiza grandes cantidades de datos, utilizando técnicas matemáticas y estadísticas, para tomar decisiones informadas en empresas tecnológicas, no tecnológicas o startups."
196,Matematica Computacional,"La SIAM identifica perfiles como instituciones académicas, sector aeroespacial, químico y farmacéutico, servicios de comunicación, desarrollo de software, energía, electrónica y computadores, investigación en ingeniería, finanzas e inmobiliarias, seguro y dispositivos médicos."
197,Ingenieria de Materiales,"La Ingeniería de Materiales abarca producción, maquinaria y fabricación. Los profesionales pueden especializarse en materiales para máquinas, síntesis de materiales, construcción o reciclado. Se concentran en industrias como mecánica, eléctrica, química y metalúrgica."
198,Ingenieria Electronica de Comunicaciones,"El grado de Ingeniería de Telecomunicación ofrece acceso a la profesión regulada de Ingeniero Técnico en Telecomunicación, con aplicaciones en sectores como electrónica, telecomunicación, automoción y sector sanitario."
199,Ingenieria de Comunicaciones Moviles y Espaciales,"Coordinan construcción y explotación de sistemas telefónicos, radioeléctricos y telegráficos. Trabajan en industria eléctrica, electrónica, comunicaciones e informática."
200,Ingenieria en Sistemas Audiovisuales y Multimedia,"Coordinan construcción y explotación de sistemas telefónicos, radioeléctricos y telegráficos. Trabajan en industria eléctrica, electrónica, comunicaciones e informática."
201,Ingenieria en Sistemas de Telecomunicacion,"Futuros graduados en Ingeniería de Sistemas y Telecomunicación desarrollarán su profesión en diseño, gestión y optimización de sistemas de comunicación, redes y aplicaciones emergentes."
202,Ingenieria de Sonido e Imagen,"Futuros graduados en Ingeniería de Sonido e Imagen pueden trabajar en televisión, radio, producción de vídeo, servicios de telecomunicación y industria musical."
203,Ingenieria de Tecnologias y Servicios de Telecomunicacion,"El Grado en Ingeniería de Tecnologías de Te lecomunicación habilita para el ejercicio de la profesión regulada de Ingeniero Técnico de Telecomunicación. Las salidas profesionales son variadas, incluyendo empresas operadoras, proveedores de servicios y aplicaciones, consultoras e instituciones reguladoras."
204,Ingenieria Telematica,"Trabajan en industria eléctrica, electrónica y comunicaciones. Funciones como técnicos o jefes de circuitos, producción, mantenimiento e informática. Graduados en Ingeniería Telemática con formación sólida en redes y servicios de comunicaciones."
205,Ingenieria y Sistemas de Datos,"Ingenieros de datos con conocimientos matemáticos y analíticos. Diseño y gestión de sistemas de datos, tratamiento de grandes volúmenes de datos, toma de decisiones."
206,Ingenieria de Computadores,"La Ingeniería de Computadores es una disciplina que combina conocimientos técnicos y científicos para diseñar e implementar sistemas informáticos en empresas y organizaciones. Se enfoca en la formación continua, investigación y aplicación de tecnologías informáticas."
207,Ingenieria Informatica,"Técnicos de sistemas y bases de datos que trabajan en empresas de informática, centros de cálculo y administración pública."
208,Ingenieria Informatica Biomedica,"Trabajo en empresas tecnológicas, laboratorios de investigación, hospitales, consultoras y administraciones autonómica o nacional."
209,Ingenieria de Sistemas de Informacion,"Desarrollo de portales electrónicos, análisis de procesos de negocio, dirección de proyectos de sistemas de información, diseño e implementación de soluciones TIC y gestión de bases de datos."
210,Tecnologias para la Sociedad de la Informacion,"Diseñador y integrador de sistemas de información, consultor y especialista en soluciones de seguridad e innovación. Director de proyectos de implantación de aplicaciones y arquitecto de sistemas de información."
211,Ingenieria del Software,"Graduados en Ingeniería del Software con habilidades en desarrollo, bases de datos, gestión y liderazgo para proyectos TIC."
212,Ingenieria de la Ciberseguridad,"La ciberseguridad afecta a todas las facetas de la vida cotidiana, especialmente con el aumento de tecnologías como Cloud Computing e Internet of Things. El profesional de ciberseguridad es altamente demandado en organizaciones públicas y privadas. Las salidas profesionales incluyen administradores de seguridad, desarrolladores de aplicaciones seguras y analistas de seguridad."
213,Matematicas e Informatica,"Informática-telecomunicaciones, consultoría, ingeniería-tecnología, finanzas y servicios son los sectores con mayor oferta laboral. Los titulados pueden trabajar en investigación, desarrollo de soluciones, diseño y mantenimiento de hardware/software o en empresas de banca, finanzas y consultorías."
214,Ingenieria en Tecnologias para Animacion y Videojuegos,"Desarrolladores y diseñadores de videojuegos, técnicos y artistas para animación y efectos visuales. Tecnologías como motores gráficos e inteligencia artificial. Puestos como ingeniero de software, técnico de iluminación y diseño digital."
215,Diseno y Desarrollo de Videojuegos,"Desarrollador de aplicaciones informáticas, diseñador y desarrollador de videojuegos, arquitecto de software interactivo e ingeniero de proyectos de entretenimiento."
216,Ingenieria de Datos e Inteligencia Artificial,El mercado necesita profesionales con formación en Ciencia e Ingeniería de Datos debido a la ingente cantidad de datos disponibles. Las universidades deben adaptarse y formar a científicos e ingenieros para cubrir la demanda actual.
217,Ciencia de Datos e Inteligencia Artificial,"Capacitados en Big Data, Inteligencia Artificial y gestión de innovación para trabajar en equipos multidisciplinares en finanzas, salud, biotecnología, transporte, industria, energía, sostenibilidad y más."
218,Inteligencia Artificial,"Especialistas en tecnología digital, incluyendo ciberseguridad y blockchain, así como ingenieros de aprendizaje automático y realidad virtual."
219,Computacion e Inteligencia Artificial,"Especialistas en tecnología digital, incluyendo ciberseguridad y realidad aumentada."
220,Ingenieria Robotica Sotware,"La robótica se utiliza en industrias innovadoras para la fabricación. Tecnologías como el Aprendizaje Automático resuelven problemas críticos. La robótica se extiende a sectores productivos y servicios, incluyendo transporte inteligente, dispositivos domésticos e inspección industrial."
221,Ingenieria Robotica e Inteligencia artificial,"Ingeniero de sistemas robóticos, ingeniero de datos, analista de datos y gestor de proyectos."
