nombre_grado,centros
Derecho Sorbona (Titulación Internacional),"Universidad Complutense de Madrid (Pública) Facultad de Derecho Campus de Moncloa Avda. Complutense, s/n 28040 Madrid Tel.: 91 394 54 28 www.ucm.es informacion@ucm.es"
"Filosofía, Política, Derecho y Economía","de Grado en Filosofía, Política y Economía Universidad Autónoma de Madrid (Pública) Título conjunto: Universidad Autónoma de Madrid, Universidad Autónoma de Barcelona, Universidad Carlos III de Madrid y Universidad Pompeu Fabra. Facultad de CC. Económicas y Empresariales Campus Cantoblanco C/ Francisco Tomás y Valiente, 5 28049 Madrid Tels.: 91 497 43 00 / 43 07 / 62 88 / 62 89 www.uam.es www.uam.es/oae/contacto Universidad Carlos III de Madrid (Pública) (bilingüe) Título conjunto: Universidad Autónoma de Madrid, Universidad Autónoma de Barcelona, Universidad Carlos III de Madrid y Universidad Pompeu Fabra. Facultad de CC. Sociales y Jurídicas Campus de Getafe C/ Madrid,126 28903 Getafe (Madrid) Tel.: 91 624 60 00 www.uc3m.es futurosestudiantes@uc3m.esCUNEF Universidad (Privada) Campus MadridPirineos C/ Pirineos, 55 28040 Madrid Tel.: 91 444 51 61 www.cunef.edu info@cunef.edu Universidad Pontificia Comillas (Privada) (online) Título conjunto: Universidad Pontificia de Comillas, Universidad de Deusto y Universidad Ramon LLul Facultad de Ciencias Humanas y Sociales Comillas Cantoblanco C/ Universidad de Comillas, 35 28049 Madrid Tel.: 91 452 28 00 www.comillas.edu grado@comillas.edu Universidad Francisco de Vitoria (Privada) Facultad de Derecho, Empresa y Gobierno Ctra. de Pozuelo a Majadahonda, Km. 1,800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.es 3 Direcciones de los centros donde se imparte la de Grado en Filosofía, Política, Derecho y Economía Centro de Estudios Superiores Instituto de Empresa. Centro privado adscrito a IE University (Privada) (en inglés) Facultad de Ciencias Humanas, Sociales y de Comunicación Paseo de la Castellana, 259 E 28046 Madrid Tel.: 91 568 96 20 www.ie.edu university@ie.edu"
Economía,"Universidad de Alcalá (Pública) Facultad de Ciencias Económicas, Empresariales y Turismo Campus Histórico Pza. de la Victoria, 2 28802 Alcalá de Henares (Madrid) Tels.: 91 885 43 13 / 16 / 62 www.uah.es ciu@uah.es secalum.economicas@uah.es Universidad Autónoma de Madrid (Pública) (grupo bilingue españolinglés) Facultad de Ciencias Económicas y Empresariales Campus de Cantoblanco C/ Francisco Tomás y Valiente, 5 28049 Madrid Tels.: 91 497 43 07 / 62 89 www.uam.es grado.economia.economicas@uam.es Universidad Carlos III de Madrid (Pública) (también en inglés) Facultad de Ciencias Sociales y Jurídicas Campus Getafe C/ Madrid, 126 28903 Getafe (Madrid) Tel.: 91 624 60 00 www.uc3m.es futurosestudiantes@uc3m.esUniversidad Complutense de Madrid (Pública) (también en inglés) Internacional Grado en Econo mía (UCM Université París 1 Pantheón Sorbonne) Facultad de Ciencias Económicas y Empresariales Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels: 91 394 29 99 / 31 50 www.ucm.es informacion@ccee.ucm.es CUNEF Universidad (Privada) Facultad de Empresa, Economía y Derecho C/ Pirineos,55 28040 Madrid tel.: 91 441 51 61 www.cunef.edu info@cunef.edu Centro de Estudios Superiores Instituto de Empresa. Centro priva do adscrito a IE University (Privada) (en inglés) Facultad de Ciencias Humanas, Sociales y de Comunicación Paseo de la Castellana, 259 E 28046 Madrid Tel.: 91 568 96 20 www.ie.edu university@ie.edu 6 Universidad a Distancia de Madrid UDIMA (Privada) Facultad de Ciencias Económicas y Empresariales Ctra. de La Coruña, Km. 38,500 Vía de Servicio, A6 15 28400 Collado Villalba (Madrid) Tels.: 91 189 69 99 / 91 856 16 99 / 902 02 00 03 www.udima.es informa@udima.es Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Ciencias Económicas y Empresariales Paseo Senda del Rey, 11 28040 Madrid Tels.: 91 398 63 04 / 06 / 07 / 08 www.uned.es negociado.economicas@adm.uned.es Universidad Rey Juan Carlos (Pública) (también en Inglés) Facultad de Ciencias de la Economía y de la Empresa Campus Madrid Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid) Tels.: 91 488 78 00 / 79 27 / 79 28 www.urjc.es madrid.secretariaalumnos@urjc.esFacultad de Ciencias de la Economía y de la Empresa Campus de Fuenlabrada Camino del Molino, s/n 28943 Fuenlabrada (Madrid) Tel.: 91 488 84 01 www.urjc.es fuenlabrada.secretariadealumnos@urjc.es Facultad de Ciencias de la Economía y de la Empresa Campus de Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tels.: 91 488 70 26 / 91 664 74 35 www.urjc.es mostoles.secretariadealumnos@urjc.es Universidad San PabloCEU (Privada) Facultad de Ciencias Económicas y Empresariales Campus Moncloa C/ Julián Romea, 23 28003 Madrid Tels.: 91 456 63 00 / 91 514 04 00 / 04 www.uspceu.com info.usp@ceu.es"
Economía y Finanzas,"Universidad Autónoma de Madrid (Pública) Facultad de Ciencias Económicas y Empresariales Campus de Cantoblanco C/ Francisco Tomás y Valiente, 5 28049 Madrid Tels.: 91 497 35 02 / 43 07 www.uam.es www.uam.es/oae/contacto grado.econfin.economicas@uam.esGrado en Economía y Finanzas"
Dirección Internacional de Negocios/ Bachelor in International Business Management,"de Grado en Negocios Internacionales / International Business Universidad Internacional de la Empresa UNIE (Privada) Campus Arapiles Facultad de CC. Sociales Aplicadas y de la Comunicación C/ Arapiles, 14. 28015 Madrid Tel.: 91 903 22 01 www.universidadunie.com Universidad Europea de Madrid (Privada) Facultad de CC. Sociales y de la Comunicación Campus de Villaviciosa de Odón C/ Tajo, s/n. Urbanización El Bosque. Edificio E 28670 VIllaviciosa de Odón (Madrid) Tel.: 91 740 72 72 www.universidadeuropea.es/madrid ads@universidadeuropea.es ESIC Universidad (Privada) Avda. de Valdenigrales, s/n. 28224 Pozuelo de Alarcón (Madrid) Tel.: 91 452 41 00 www.esic.edu/university info.madrid@esic.edu Direcciones de los centros donde se imparte la de Grado en Economía y Negocios Internacionales Universidad de Alcalá (Pública) Facultad de Ciencias Económicas, Empresariales y Turismo Campus Histórico Plaza de la Victoria 28802 Alcalá de Henares (Madrid) Tels.: 91 885 43 13 / 16 / 62 www.uah.es secalum.economicas@uah.es Universidad Antonio de Nebrija (Privada) Facultad de Economía y Empresa Campus MadridPrincesa C/ Santa Cruz de Marcenado, 27 28015 Madrid Tels.: 91 452 11 01 / 900 321 322 www.nebrija.com informa@nebrija.com Direcciones de los centros donde se imparte la de Grado en Dirección Internacional de Negocios/ Bachelor in International Business Management Universidad Francisco de Vitoria (Privada) Facultad de Derecho, Empresa y Gobierno Ctra. de Pozuelo a Majadahonda, Km. 1,800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.es"
"Finanzas, Banca y Seguros Un","de Grado en Finanzas, Banca y Seguros Universidad Complutense de Madrid (Pública) Facultad de Ciencias Económicas y Empresariales Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 394 29 99 / 31 50 www.ucm.es informacion@ccee.ucm.es"
Contabilidad y Finanzas,"de Grado en Finanzas Universidad de Alcalá (Pública) Facultad de Ciencias Económicas, Empresariales y Turismo Campus Histórico Plaza de la Victoria, s/n 28802 Alcalá de Henares (Madrid) Tels.: 91 885 43 13 / 16 / 62 / 900 900 411 www.uah.es/facultadcceeturismo ciu@uah.es Direcciones de los centros donde se imparte la de Grado en Finanzas y Contabilidad Universidad Carlos III de Madrid (Pública) (español o bilingüe) Facultad de Ciencias Sociales y Jurídicas Campus Getafe C/ Madrid, 126 28903 Getafe (Madrid) Tel.: 91 624 60 00 www.uc3m.es futurosestudiantes@uc3m.esDirecciones de los centros donde se imparte la de Grado en Contabilidad y Finanzas Universidad Rey Juan Carlos (Pública) (también online) Facultad de Ciencias de la Economía y de la Empresa Campus Madrid Paseo Artilleros, s/n 28032 Vicálvaro (Madrid) Tels.: 91 488 78 00 / 79 27 / 79 28 www.urjc.es madrid.secretariaalumnos@urjc.es Facultad de Ciencias de la Economía y de la Empresa Campus Fuenlabrada Camino del Molino, s/n 28943 Fuenlabrada (Madrid) Tel.: 91 488 84 01 www.urjc.es fuenlabrada.secretariadealumnos@urjc.es Facultad de Ciencias de la Economía y de la Empresa Campus de Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tels.: 91 488 70 26 / 91 664 74 35 www.urjc.es mostoles.secretariadealumnos@urjc.es"
Economía Financiera y Actuarial,"Universidad Rey Juan Carlos (Pública) Facultad de Ciencias de la Economía y de la Empresa Campus Madrid Paseo Artilleros, s/n 28032 Vicálvaro (Madrid) Tels.: 91 488 78 00 / 79 27 / 79 28 www.urjc.es madrid.secretariaalumnos@urjc.es Facultad de Ciencias de la Economía y de la Empresa Campus de Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tels.: 91 488 70 26 / 91 664 74 35 www.urjc.es mostoles.secretariadealumnos@urjc.es"
Análisis de Negocios / Business Analytics / Analítica de Negocio,"de Grado en Análisis de Negocio / Business Analytics Universidad Francisco de Vitoria (Privada) Facultad de Derecho, Empresa y Gobierno Ctra. de Pozuelo a Majadahonda, Km. 1,800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.esUniversidad Pontificia Comillas (Privada) Facultad de Ciencias Humanas y Sociales Comillas Cantoblanco C/ Universidad de Comillas, 35 28049 Madrid Tel.: 91 452 28 00 www.comillas.edu grado@comillas.edu Centro de Estudios Superiores Instituto de Empresa. Centro priva do adscrito a IE University (Privada) Facultad de Ciencias Humanas, Sociales y de la Comunicación Paseo de la Castellana, 259 E 28046 Madrid Tel.: 91 568 96 20 www.ie.edu university@ie.edu Direcciones de los centros donde se imparte la de Grado en Analítica de Negocio Universidad Internacional de la EmpresaUNIE (Privada) Facultad de CC. Sociales Aplicadas y de la Comunicación C/ Príncipe de Vergara 108 28002 Madrid www.universidadunie.com"
Magisterio en Educación Infantil,"de Grado en Educación Infantil Universidad Alfonso X El Sabio (Privada) Facultad de Educación Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid) Tel.: 91 810 92 00 www.uax.es info@uax.es Universidad Antonio de Nebrija (Privada) Facultad de Ciencias Lenguas y Educación Campus MadridPrincesa C/ Santa Cruz de Marcenado, 27 28015 Madrid Tel.: 91 452 11 03 www.nebrija.com informa@nebrija.com Universidad Francisco de Vitoria (Privada) Facultad de Educación y Psicología Ctra. PozueloMajadahonda, Km. 1.800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.es Universidad Pontificia Comillas (Privada) Facultad de Ciencias Humanas y Sociales Comillas Cantoblanco C/ Universidad de Comillas, 3 28049 Madrid Tel.: 91 452 28 00 www.comillas.edu grado@comillas.eduUniversidad Rey Juan Carlos (Pública) (semipresencial, inglés) Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares Campus Madrid Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid) Tels.: 91 488 78 00 / 79 27 / 79 28 www.urjc.es mostoles.secretariadealumnos@urjc.es Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares Campus de Fuenlabrada Camino del Molino, s/n 28943 Fuenlabrada (Madrid) Tel.: 91 488 84 01 www.urjc.es fuenlabrada.secretariadealumnos@urjc.es Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares Campus de Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tels.: 91 488 70 26 / 91 664 74 35 www.urjc.es mostoles.secretariadealumnos@urjc.es Escuela Superior Empresarial de Relaciones Públicas ESERP (Adscrita de titularidad privada a la Universidad Rey Juan Carlos) (también online) C/ Costa Rica, 9 28016 Madrid Tels.: 91 350 12 12 / 900 101 483 www.eserp.com info@eserp.com 3 Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Educación C/ Juan del Rosal, 14 28040 Madrid Tels.: 91 398 82 80 / 73 62 / 97 79 www.uned.es secre.edu@adm.uned.es Universidad San PabloCEU (Privada) Facultad de Ciencias Económicas y Empresariales Campus Moncloa C/ Julián Romea, 23 28003 Madrid Tel.: 91 456 63 00 www.uspceu.com info.usp@ceu.esDirecciones de los centros donde se imparte la de Grado en Maestro en Educación Infantil / Grado en Magisterio en Educación Infantil Universidad de Alcalá (Pública) Facultad de Educación Campus Guadalajara C/ Madrid, 1 19001 Guadalajara Tels.: 949 20 96 60 / 96 87 / 97 36 www.uah.es/facultadeducacion excuela.magisterio@uah.es Centro Universitario “Cardenal Cisneros” (Adscrito de titularidad privada a la Universidad de Alcalá) (también bilingüeinglés y semipresencial) Avda. de los Jesuitas, 34 28806 Alcalá de Henares (Madrid) Tel.: 91 889 12 54 www.cardenalcisneros.es info@cardenalcisneros.es Universidad Autónoma de Madrid (Pública) Facultad de Formación de Profesorado y Educación Campus de Cantoblanco C/ Francisco Tomás y Valiente, 3 28049 Madrid Tels.: 91 497 86 64 / 28 41 / 28 45 / 86 22 www.uam.es gestiongrado.fprofesorado@uam.es 4 5 Centro Superior de Estudios Universitarios La Salle (Adscrito de titularidad privada a la Universidad Autónoma de Madrid) C/ La Salle, 10 28023 Madrid Tels.: 91 740 19 80 / 16 09 www.lasallecentrouniversitario.es sia@lasallecampus.es Universidad Europea de Madrid (Privada) Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón C/ Tajo s/n. Urbanización El Bosque Edificio E 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 www.universidadeuropea.es/madrid ads@universidadeuropea.es Universidad Camilo José Cela (Privada) Facultad de Educación Campus Villafranca C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid) Tel.: 91 815 31 31 www.ucjc.edu info@ucjc.eduCentro de Educación Superior de Enseñanza e Investigación Educativa (Adscrito de titularidad privada a la Universidad Camilo José Cela) (Privada) (semipresencial) Plaza de San Martín, 4 28013 Madrid Tel.: 91 993 00 16 www.ceie.es Universidad Complutense de Madrid (Pública) Facultad de Educación Campus Ciudad Universitaria Edificio La Almudena C/ Rector Royo Villanova s/n Ciudad Universitaria 28040 Madrid Tels.: 91 394 61 19 / 32 / 36 / 62 09 / 63 11 www.ucm.es informacion@ucm.es secre.alumnos@edu.ucm.es Centro de Estudios Superiores en Humanidades y Ciencias de la Educación Don Bosco (Adscrito de titularidad privada a la Universidad Complutense de Madrid) C/ María Auxiliadora, 9 28040 Madrid Tel.: 91 450 04 72 www.cesdonbosco.com direccion@cesdonbosco.com 5 Universidad Internacional Villanueva (Privada) Facultad de Ciencias Sociales y Jurídicas C/ de la Costa Brava, 6 28034 Madrid Tel.: 91 734 04 13 www.villanueva.edu info@villanueva.edu Universidad a Distancia de MadridUDIMA (Privada) Facultad CC. de la Salud y de la Educación Ctra. de La Coruña, km. 38,500 Vía de Servicio, A6 15 28400 Collado Villalba (Madrid) Tels.: 91 189 69 99 / 91 856 16 99 / 902 020 003 www.udima.es informa@udima.es"
Magisterio en Educación Primaria,"de Grado en Educación Primaria Universidad Antonio de Nebrija (Privada) Facultad de Lenguas y Educación Campus MadridPrincesa C/ Santa Cruz de Marcenado, 27 Tel.: 91 452 11 03 www.nebrija.com informa@nebrija.com Universidad Francisco de Vitoria (Privada) Facultad de Educación y Psicología Ctra. PozueloMajadahonda, Km. 1.800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.es Universidad Internacional de la Em presa UNIE (Privada) Campus Arapiles Facultad de CC. Sociales Aplicadas y de la Comunicación C/ Arapiles, 14. 28015 Madrid Tel.: 91 903 22 01 www.universidadunie.com admisiones.grado@universidadunie.com Universidad Pontificia Comillas (Privada) Facultad de Ciencias Humanas y Sociales Comillas Cantoblanco C/ Universidad de Comillas, 35 28049 Madrid Tel.: 91 452 28 00 www.comillas.edu grado@comillas.eduUniversidad Rey Juan Carlos (Pública) (semipresencial) (Mención en Lengua Extranjera Inglés) Facultad de Ciencias Jurídicas y Sociales Campus Madrid Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid) Tels.: 91 488 78 00 / 79 27 / 79 28 www.urjc.es madrid.secretariadealumnos@urjc.es (Mención en Educación Física) Facultad de Ciencias Jurídicas y Sociales Camino del Molino, s/n 28943 Fuenlabrada (Madrid) Tels.: 91 488 78 00 91 488 84 01 www.urjc.es fuenlabrada.secretariadealumnos@urjc.es (Mención en Educación Musical) Facultad de Ciencias Jurídicas y Sociales Campus de Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tels.: 91 488 70 26 / 91 664 74 35 www.urjc.es mostoles.secretariadealumnos@urjc.es Universidad San Pablo CEU (Privada) Facultad de Ciencias Económicas y Empresariales Campus Moncloa C/ Julián Romea, 23 28003 Madrid Tel.: 91 456 63 00 www.uspceu.com info.usp@ceu.es 8 Direcciones de los centros donde se imparte la de Grado en Maestro en Educación Primaria / Grado en Magisterio en Educación Primaria Universidad de Alcalá (Pública) (también bilingüeinglés) Facultad de Educación Campus Guadalajara C/ Madrid, 1 19001 Guadalajara Tels.: 949 20 96 60 / 87 / 97 36 www.uah.es/facultadeducacion escuela.magisterio@uah.es Universidad Alfonso X El Sabio (Privada) Facultad de Educación Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid) Tel.: 91 810 92 00 www.uax.es info@uax.es Centro Universitario “Cardenal Cisneros” (Adscrito de titularidad privada a la Universidad de Alcalá) (también bilingüeinglés y semipresencial) Avda. de los Jesuitas, 34 28806 Alcalá de Henares (Madrid) Tels.: 91 889 12 54 www.cardenalcisneros.es info@cardenalcisneros.esUniversidad Autónoma de Madrid (Pública) Facultad de Formación de Profesorado y Educación Campus de Cantoblanco C/ Francisco Tomás y Valiente, 3 28049 Madrid Tels.: 91 497 86 64 / 28 41 / 28 45 / 86 22 www.uam.es gestiongrado.fprofesorado@uam.es Centro Superior de Estudios Universitarios La Salle (Adscrito de titularidad privada a la Universidad Autónoma de Madrid) C/ La Salle, 10 28023 Madrid Tels.: 91 740 19 80 www.lasallecentrouniversitario.es sia@lasallecampus.es Universidad Camilo José Cela (Privada) Facultad de Educación Campus Villafranca C/ Castillo de Alarcón, 49 28692 Villanueva de la Cañada (Madrid) Tel.: 91 815 31 31 www.ucjc.edu info@ucjc.edu Centro de Educación Superior de Enseñanza e Investigación Educa tiva (Adscrito de titularidad privada a la Universidad Camilo José Cela (Privada) (semipresencial) Plaza de San Martín, 4 28013 Madrid Tel: 91 993 00 16 www.ceie.es 9 Universidad Complutense de Madrid (Pública) Facultad de Educación Campus Ciudad Universitaria Edificio La Almudena C/ Rector Royo Villanova, s/n Ciudad Universitaria 28040 Madrid Tels.: 91 394 61 19 / 32 / 36 / 62 09 / 63 11 www.ucm.es secre.alumnos@edu.ucm.es Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco (Adscrito de titularidad privada a la Universidad Complutense de Madrid) C/ María Auxiliadora, 9 28040 Madrid Tel.: 91 450 04 72 www.cesdonbosco.com direccion@cesdonbosco.com Universidad Internacional Villanueva (Privada) Facultad de Ciencias Sociales y Jurídicas C/ de la Costa Brava, 6 28034 Madrid Tel.: 91 734 04 13 www.villanueva.edu info@villanueva.edu Universidad a Distancia de MadridUDIMA (Privada) Facultad CC. de la Salud y de la Educación Ctra. de La Coruña, Km. 38,500 Vía de Servicio, A6 15 28400 Collado Villalba (Madrid) Tels.: 91 189 69 99 / 91 856 16 99 / 902 020 003 www.udima.es informa@udima.es Universidad Europea de Madrid (Privada) Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón C/ Tajo s/n. Urbanización El Bosque Edificio E 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 www.universidadeuropea.es/madrid ads@universidadeuropea.es"
Educación Social,"Centro Universitario “Cardenal Cisneros” (Adscrito de titularidad privada a la Universidad de Alcalá) Avda. de los Jesuitas, 34 28806 Alcalá de Henares (Madrid) Tel.: 91 889 12 54 www.cardenalcisneros.es info@cardenalcisneros.es Universidad Complutense de Madrid (Pública) Facultad de Educación Campus Ciudad Universitaria Edificio La Almudena C/ Rector Royo Villanova, s/n Ciudad Universitaria 28040 Madrid Tels.: 91 394 61 19 / 32 / 36 / 62 09 / 63 11 www.ucm.es secre.alumnos@edu.ucm.es Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco (Adscrito de titularidad privada a la Universidad Complutense de Madrid) C/ María Auxiliadora, 9 28040 Madrid Tel.: 91 450 04 72 www.cesdonbosco.com direccion@cesdonbosco.comCentro Superior de Estudios Universitarios La Salle (Adscrito de titularidad privada a la Universidad Autónoma de Madrid) C/ La Salle, 10 28023 Madrid Tels.: 91 740 16 09 / 19 80 www.lasallecentrouniversitario.es sia@lasallecampus.es Universidad Francisco de Vitoria (Privada) Facultad de Educación y Psicología Ctra. PozueloMajadahonda, Km. 1.800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.es Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Educación C/ Juan del Rosal, 14 28040 Madrid Tels.: 91 398 82 80 / 73 62 / 97 79 www.uned.es secre.edu@adm.uned.es"
Pedagogía,"Universidad Camilo José Cela (Privada) (A distancia) Facultad de Educación Campus Villafranca C/ Castillo de Alarcón, 49 28692 Villanueva de la Cañada (Madrid) Tel.: 91 815 31 31 www.ucjc.edu info@ucjc.edu Universidad Complutense de Madrid (Pública) Facultad de Educación Campus Ciudad Universitaria Edificio La Almudena C/ Rector Royo Villanova, s/n Ciudad Universitaria 28040 Madrid Tels.: 91 394 61 19 / 32 / 36 / 62 09 / 63 11 www.ucm.es secre.alumnos@edu.ucm.esUniversidad Nacional de Educación a Distancia UNED (Pública) Facultad de Educación C/ Juan del Rosal, 14 28040 Madrid Tels.: 91 398 82 80 / 73 62 / 97 79 www.uned.es secre.edu@adm.uned.es Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco (Adscrito de titularidad privada a la Universidad Complutense de Madrid) C/ María Auxiliadora, 9 28040 Madrid Tel.: 91 450 04 72 www.cesdonbosco.com direccion@cesdonbosco.com"
Comportamiento y Ciencias Sociales,"Centro de Estudios Superiores Instituto de Empresa. Centro privado adscrito a IE University (Privada) (en inglés) Facultad de Ciencias Humanas, Sociales y de Comunicación Paseo de la Castellana, 259 E 28046 Madrid Tel.: 91 568 96 20 www.ie.edu university@ie.edu"
Administración de Empresas,"Universidad Carlos III de Madrid (Pública) (español o inglés) Facultad de Ciencias Sociales y Jurídicas Campus de Getafe C/ Madrid, 126 28903 Getafe (Madrid) Tel.: 91 624 60 00 www.uc3m.es futuroestudiantes@uc3m.es Facultad de Ciencias Sociales y Jurídicas Campus de Colmenarejo Avda. Gregorio PecesBarba Martínez, 22 28270 Colmenarejo (Madrid) Tel.: 91 624 60 00 www.uc3m.es futuroestudiantes@uc3m.es CES Instituto de Ciencias Empresariales IMF (Adscrito de titularidad privada a la Universidad Camilo José Cela Centro de enseñanza online) C/ Costanilla de San Pedro, 2 28005 Madrid Tel.: 91 357 94 15 www.imfice.es info@imfice.es"
