nombre_grado,universidad,tipo,facultad,direccion,telefonos,webs,emails,campus
Ciencia Política y Gestión Pública,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Políticas Campus Madrid,"Camino de Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 78 00 / 91 488 79 27 / 91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es,Fuenlabrada
Ciencia Política y de la Administración,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Ciencias Políticas y Sociología,"C/ Del Obispo Trejo, 2 28040 Madrid",91 398 89 58,www.uned.es,alumnos.poli@adm.uned.es | infouned@adm.uned.es,Madrid
Gestión y Administración Pública,Universidad Complutense de Madrid,Pública,Facultad de Ciencias Políticas y Sociología Campus Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tel,,91 394 29 52,www.ucm.es,inforoir@ucm.es | secre.alumnos@cps.ucm.esGrado,
Historia y Política,Universidad Carlos III de Madrid,Pública,"Facultad de Humanidades, Comunicación y Documentación","C/ Madrid, 126 28903 Getafe (Madrid)",91 624 06 00,www.uc3m.es,futuroestudiantes@uc3m.es,Getafe
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Alfonso X El Sabio,Privada,Facultad de Estudios Sociales y Lenguas Aplicadas Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es,Villanueva de la Cañada
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Antonio de Nebrija,Privada,Facultad de Derecho y de Relaciones Inter nacionales Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com,Madrid
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Camilo José Cela,Privada,Facultad de Comunicación y Humanidades Campus Villafranca,"C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.edu,Villanueva de la Cañada
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Complutense de Madrid,Pública,Facultad de Ciencias Políticas y Sociología Campus Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tel,,91 394 29 60,www.ucm.es,inforoir@ucm.es,
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Europea de Madrid,Privada,Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 211 50 10 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es,Villaviciosa de Odón
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Europea de Madrid,Privada,Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón,"C/ Fernando Alonso, 8 28108 Alcobendas (Madrid)",91 211 50 10 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es,Alcobendas
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Internacional de la EmpresaUNIE,Privada,Facultad de CC,"C/ Arapiles, 14. 28015 Madrid",91 903 22 01,www.universidadunie.com,admisiones.grado@universidadunie.com,Madrid
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Pontificia Comillas,Privada,Facultad de Ciencias Humanas y Sociales,"C/ Universidad de Comillas, 35 Comillas Cantoblanco 28015 Madrid",91 542 28 00,www.comillas.edu,grado@comillas.edu,Madrid
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Políticas Campus Madrid,"Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 44 17 / 91 488 79 27 / 91 488 84 01,www.urjc.es,aranjuez.secrealumnos@urjc.es | fcjs.secretariaacademica@urjc.es | fuenlabrada.secretariadealumnos@urjc.es,Vicálvaro
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Políticas Campus Madrid,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 44 17 / 91 488 79 27 / 91 488 84 01,www.urjc.es,aranjuez.secrealumnos@urjc.es | fcjs.secretariaacademica@urjc.es | fuenlabrada.secretariadealumnos@urjc.es,Fuenlabrada
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Políticas Campus Madrid,"C/ Lucas Jordán, s/n 28300 Aranjuez (Madrid)",91 488 44 17 / 91 488 79 27 / 91 488 84 01,www.urjc.es,aranjuez.secrealumnos@urjc.es | fcjs.secretariaacademica@urjc.es | fuenlabrada.secretariadealumnos@urjc.es,Aranjuez
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad San Pablo CEU,Privada,Facultad de Derecho Campus Moncloa,"C/ Julián Romea, 23 28003 Madrid",91 456 63 00 / 91 514 04 00,www.uspceu.com,info.usp@ceu.es,Madrid
Estudios Internacionales / Bachelor of European Studies (BAES),Universidad Carlos III de Madrid,Pública,Facultad de Ciencias Sociales y Jurídicas Campus de Getafe,"C/ Madrid, 126 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es,Getafe
Estudios Internacionales / Bachelor of European Studies (BAES),,,,"Camino de Valdenigrales, s/n 28224 Pozuelo de Alarcón (Madrid)",91 452 41 00,www.esic.edu/university,info.madrid@esic.edu,Pozuelo de Alarcón
Sociología,Universidad Carlos III de Madrid,Pública,Facultad de Ciencias Sociales y Jurídicas Campus de Getafe,"C/ Madrid, 126 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es,Getafe
Sociología,Universidad Complutense de Madrid,Pública,Facultad de Ciencias Políticas y Sociología Campus Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels,,91 394 29 52,www.ucm.es,inforoir@ucm.es | secre.alumnos@cps.ucm.es,
Sociología,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Ciencias Políticas y Sociología,"C/ Del Obispo Trejo, 2 28040 Madrid",91 398 89 58,www.uned.es,alumos.soci@adm.uned.es,Madrid
Sociología,Universidad Europea de Madrid,Privada,Facultad de CC,"C/ Tajo, s/n. Urbanización El Bosque. Edificio E 28670 VIllaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es,VIllaviciosa de Odón
Comercio,Universidad Complutense de Madrid,Pública,Facultad de Comercio y Turismo Campus Moncloa,"Avda. de Islas Filipinas, 3 28003 Madrid",91 394 67 66,www.ucm.es,alumnos.fct@ucm.es,Madrid
Marketing y Comunicación,Universidad a Distancia de Madrid UDIMA,Privada,Facultad de Ciencias Económicas y Empresariales Ctra,,902 02 00 03 / 91 189 69 99 / 91 856 16 99,www.udima.es,informa@udima.es,
Marketing y Comunicación,,,,"Camino de Valdenigrales, s/n 28224 Pozuelo de Alarcón (Madrid)",91 350 12 12 / 91 452 41 00,www.eserp.com | www.esic.edu/university,info.madrid@esic.edu | info@eserp.com,Pozuelo de Alarcón
Marketing y Comunicación,,,,"C/ Costa Rica, 9 28016 Madrid",91 350 12 12 / 91 452 41 00,www.eserp.com | www.esic.edu/university,info.madrid@esic.edu | info@eserp.com,Madrid
Marketing y Comunicación,Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com,Madrid
Marketing y Comunicación,Universidad Alfonso X El Sabio,Privada,Facultad de Estudios Sociales y Lenguas Aplicadas Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es,Villanueva de la Cañada
Marketing y Comunicación,Universidad Francisco de Vitoria,Privada,"Facultad de Derecho, Empresa y Gobierno Ctra",,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es,
Marketing y Comunicación,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid Vicálvaro,"Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 44 17 / 91 488 70 26 / 91 488 78 00 / 91 488 79 27 / 91 488 84 01 / 91 661 74 35,www.urjc.es,aranjuez.secretariadealumnos@urjc.es | fcjs.secretariaacademica@urjc.es,Vicálvaro
Marketing y Comunicación,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid Vicálvaro,"Camino de Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 44 17 / 91 488 70 26 / 91 488 78 00 / 91 488 79 27 / 91 488 84 01 / 91 661 74 35,www.urjc.es,aranjuez.secretariadealumnos@urjc.es | fcjs.secretariaacademica@urjc.es,Fuenlabrada
Marketing y Comunicación,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid Vicálvaro,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 488 44 17 / 91 488 70 26 / 91 488 78 00 / 91 488 79 27 / 91 488 84 01 / 91 661 74 35,www.urjc.es,aranjuez.secretariadealumnos@urjc.es | fcjs.secretariaacademica@urjc.es,Móstoles
Marketing y Comunicación,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid Vicálvaro,"C/ Lucas Jordán, s/n 28300 Aranjuez (Madrid)",91 488 44 17 / 91 488 70 26 / 91 488 78 00 / 91 488 79 27 / 91 488 84 01 / 91 661 74 35,www.urjc.es,aranjuez.secretariadealumnos@urjc.es | fcjs.secretariaacademica@urjc.es,Aranjuez
Marketing y Comunicación,Universidad San PabloCEU,Privada,Facultad de Ciencias Económicas y Empresariales Campus de Moncloa,"C/ Julián Romea, 23 28003 Madrid",91 456 63 00,www.uspceu.com,info.usp@ceu.es,Madrid
Marketing y Comunicación,Universidad Internacional Villanueva,Privada,Facultad de Ciencias Sociales y Jurídicas,"C/ de la Costa Brava, 6 28034 Madrid",91 734 04 13,www.villanueva.edu,info@villanueva.edu,Madrid
Marketing y Comunicación,Universidad Internacional de la Empresa UNIE,Privada,Facultad de CC,"C/ Arapiles, 14. 28015 Madrid",91 903 22 01,www.universidadunie.com,admisiones.grado@universidadunie.com,Madrid
CC. Jurídicas de las Administraciones Públicas,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Derecho Campus de Moncloa,"C/ Obispo Trejo, 2 28040 Madrid",91 398 81 33,www.uned.es,negociadosecretaria@der.uned.es,Madrid
Criminología,,,Escuela Superior Empresarial Relaciones Públicas ESERP (Adscrita de titularidad privada a la Universidad Rey Juan Carlos),"C/ Costa Rica, 9 28016 Madrid",91 350 12 12,www.eserp.com,info@eserp.com,Madrid
Criminología,Universidad Complutense de Madrid,Pública,Facultad de Derecho Campus Moncloa,"Avda. Complutense, s/n Ciudad Universitaria 28040 Madrid",91 394 54 28,www.ucm.es,gradocriminología@ucm.es | informacion@ucm.es,Madrid
Criminología,Universidad a Distancia de Madrid UDIMA,Privada,Facultad de CC,,902 02 00 03 / 91 189 69 99 / 91 856 16 99,www.udima.es,informa@udima.es,
Criminología,Universidad Internacional de la Empresa UNIE,Privada,Facultad de CC,"C/ Arapiles, 14. 28015 Madrid",91 903 22 01,www.universidadunie.com,admisiones.grado@universidadunie.com,Madrid
Criminología,Universidad Europea de Madrid,Privada,Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Urbanización El Bosque Edificio E 28670 Villaviciosa de Odón (Madrid)",91 211 50 10 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es,Villaviciosa de Odón
Criminología,Universidad Europea de Madrid,Privada,Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón,"C/ Fernando Alonso, 8 28108 Alcobendas (Madrid)",91 211 50 10 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es,Alcobendas
Criminología,Universidad Francisco de Vitoria,Privada,"Facultad de de Derecho, Empresa y Gobierno Ctra",,91 351 03 03,www.ufv.es,info@ufv.es,
Criminología,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Derecho Campus Moncloa,"C/ Obispo Trejo, 2 28040 Madrid",91 398 81 33,www.uned.es,negociadosecretaria@der.uned.es,Madrid
Criminología,Universidad Pontificia Comillas,Privada,Facultad de Ciencias Humanas y Sociales Comillas Cantoblanco,"C/ Universidad de Comillas, 3 28049 Madrid",91 452 28 00,www.comillas.edu,grado@comillas.edu,Madrid
Criminología,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Políticas Campus Madrid,"Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 79 27 / 91 488 88 00 / 91 488 89 17,www.urjc.es,alcorcon.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es,Vicálvaro
Criminología,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Políticas Campus Madrid,"Avda. de Atenas, s/n 28922 Alcorcón (Madrid)",91 488 79 27 / 91 488 88 00 / 91 488 89 17,www.urjc.es,alcorcon.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es,Alcorcón
Seguridad,Universidad Camilo José Cela,Privada,Facultad de Comunicación y Humanidades Campus Villafranca,"C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.edu,Villanueva de la Cañada
Seguridad,Universidad San PabloCEU,Privada,Facultad de Derecho Campus Moncloa,"C/ Julián Romea, 23 28003 Madrid",91 456 63 00 / 91 514 04 00,www.uspceu.com,info.usp@ceu.es,Madrid
Seguridad,Universidad Antonio de Nebrija,Privada,Facultad de Derecho y de Relaciones Internacionales Campus Madrid Princesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 01,www.nebrija.com,informa@nebrija.com,Madrid
Derecho,Universidad de Alcalá,Pública,Facultad de Derecho Campus Histórico,"C/ Libreros, 27 28801 Alcalá de Henares (Madrid)",91 885 43 13,www.uah.es/facultadderecho,ciu@uah.es | secalum.derecho@uah.es,Alcalá de Henares
Derecho,Universidad Alfonso X El Sabio,Privada,Facultad de Estudios Sociales y Lenguas Aplicadas Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es,Villanueva de la Cañada
Derecho,Universidad Antonio de Nebrija,Privada,Facultad de Ciencias Sociales Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com,Madrid
Derecho,Universidad Autónoma de Madrid,Pública,Facultad de Derecho Campus de Cantoblanco,"C/ Kelsen, 1 28049 (Madrid)",91 497 81 51,www.uam.es | www.uam.es/oae/contacto,informacion.derecho@uam.es,
Derecho,Universidad Carlos III de Madrid,Pública,Facultad de Ciencias Sociales y Jurídicas,"C/ Madrid, 126 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es,Getafe
Derecho,Universidad Carlos III de Madrid,Pública,Facultad de Ciencias Sociales y Jurídicas,"Avda. Gregorio PecesBarba Martínez, 22 28270 Colmenarejo (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es,Colmenarejo
Derecho,Universidad Camilo José Cela,Privada,Facultad de Comunicación y Humanidades,"C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 VIllanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.es,info@ucjc.es,VIllanueva de la Cañada
Derecho,Universidad Complutense de Madrid,Pública,Facultad de Derecho Campus de Moncloa,"Avda. Complutense, s/n 28040 Madrid",91 394 54 31,www.ucm.es,gradoderecho@ucm.es | informacion@ucm.es,Madrid
Derecho,Universidad San Pablo CEU,Privada,Facultad de Derecho Campus de Moncloa,C/ Julián Romea 23 28003 Madrid,91 456 63 00 / 91 514 04 00,www.uspceu.com,info.usp@ceu.es | secretariamoncloa@ceu.es,Madrid
Derecho,Universidad Europea de Madrid,Privada,Facultad de CC,"C/Tajo, s/n. Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 211 50 10 / 91 740 72 72,www.madrid.universidadeuropea.es | www.universidadeuropea.es/madrid,ads@uem.esFacultad | ads@universidadeuropea.es,Villaviciosa de Odón
Derecho,Universidad Europea de Madrid,Privada,Facultad de CC,"Avda. de Fernando Alonso, 8 28108 Alcobendas (Madrid)",91 211 50 10 / 91 740 72 72,www.madrid.universidadeuropea.es | www.universidadeuropea.es/madrid,ads@uem.esFacultad | ads@universidadeuropea.es,Alcobendas
Derecho,Universidad Francisco de Vitoria,Privada,"Facultad de Derecho, Empresa y Gobierno Ctra",,91 351 03 03,www.ufv.es,info@ufv.es,
Derecho,Universidad a Distancia de Madrid UDIMA,Privada,"Facultad de Ciencias Jurídicas Carretera de La Coruña, Km",,902 02 00 03 / 91 189 69 99 / 91 856 16 99,www.udima.es,informa@udima.es,
Derecho,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Derecho Campus Moncloa,"C/ Obispo Trejo, 2 28040 Madrid",91 398 81 33,www.uned.es,negociadosecretaria@der.uned.es,Madrid
Derecho,Universidad Pontificia Comillas ICADE,Privada,Facultad de Derecho,"C/ Alberto Aguilera, 23 28015 Madrid",91 542 28 00,www.comillas.edu,grado@comillas.edu,Madrid
Derecho,Universidad Europea de Madrid,Privada,,"Avda. de Fernando Alonso, 8 28108 Alcobendas (Madrid)",91 514 53 30,,,Alcobendas
Derecho,Universidad Internacional de la Empresa UNIE,Privada,Facultad de CC,"C/ Arapiles, 14. 28015 Madrid",91 903 22 01,www.universidadunie.com,admisiones.grado@universidadunie.com,Madrid
Derecho Sorbona (Titulación Internacional),Universidad Complutense de Madrid,Pública,Facultad de Derecho Campus de Moncloa,"Avda. Complutense, s/n 28040 Madrid",91 394 54 28,www.ucm.es,informacion@ucm.es,Madrid
"Filosofía, Política, Derecho y Economía",Universidad Autónoma de Madrid,Pública,Facultad de CC,"C/ Francisco Tomás y Valiente, 5 28049 Madrid",91 497 43 00,www.uam.es | www.uam.es/oae/contacto,,Madrid
"Filosofía, Política, Derecho y Economía",Universidad Carlos III de Madrid,Pública,Facultad de CC,"C/ Madrid,126 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.esCUNEF,Getafe
"Filosofía, Política, Derecho y Economía",,,,"C/ Pirineos, 55 28040 Madrid",91 444 51 61,www.cunef.edu,info@cunef.edu,Madrid
"Filosofía, Política, Derecho y Economía",Universidad Pontificia Comillas,Privada,Facultad de Ciencias Humanas y Sociales Comillas Cantoblanco,"C/ Universidad de Comillas, 35 28049 Madrid",91 452 28 00,www.comillas.edu,grado@comillas.edu,Madrid
Economía,Universidad de Alcalá,Pública,"Facultad de Ciencias Económicas, Empresariales y Turismo Campus Histórico","Pza. de la Victoria, 2 28802 Alcalá de Henares (Madrid)",91 885 43 13,www.uah.es,ciu@uah.es | secalum.economicas@uah.es,Alcalá de Henares
Economía,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Económicas y Empresariales Campus de Cantoblanco,"C/ Francisco Tomás y Valiente, 5 28049 Madrid",91 497 43 07,www.uam.es,grado.economia.economicas@uam.es,Madrid
Economía,Universidad Carlos III de Madrid,Pública,Facultad de Ciencias Sociales y Jurídicas Campus Getafe,"C/ Madrid, 126 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es,Getafe
Economía,Universidad Complutense de Madrid,Pública,Facultad de Ciencias Económicas y Empresariales Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels,,91 394 29 99,www.ucm.es,informacion@ccee.ucm.es,
Economía,Universidad a Distancia de Madrid UDIMA,Privada,Facultad de Ciencias Económicas y Empresariales Ctra,,902 02 00 03 / 91 189 69 99 / 91 856 16 99,www.udima.es,informa@udima.es,
Economía,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Ciencias Económicas y Empresariales,"Paseo Senda del Rey, 11 28040 Madrid",91 398 63 04,www.uned.es,negociado.economicas@adm.uned.es,Madrid
Economía,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid,"Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.esFacultad | mostoles.secretariadealumnos@urjc.es,Vicálvaro
Economía,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.esFacultad | mostoles.secretariadealumnos@urjc.es,Fuenlabrada
Economía,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.esFacultad | mostoles.secretariadealumnos@urjc.es,Móstoles
Economía,Universidad San PabloCEU,Privada,Facultad de Ciencias Económicas y Empresariales Campus Moncloa,"C/ Julián Romea, 23 28003 Madrid",91 456 63 00 / 91 514 04 00,www.uspceu.com,info.usp@ceu.es,Madrid
Economía y Finanzas,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Económicas y Empresariales Campus de Cantoblanco,"C/ Francisco Tomás y Valiente, 5 28049 Madrid",91 497 35 02,www.uam.es | www.uam.es/oae/contacto,grado.econfin.economicas@uam.esGrado,Madrid
Dirección Internacional de Negocios/ Bachelor in International Business Management,Universidad Internacional de la Empresa UNIE,Privada,Facultad de CC,"C/ Arapiles, 14. 28015 Madrid",91 903 22 01,www.universidadunie.com,,Madrid
Dirección Internacional de Negocios/ Bachelor in International Business Management,Universidad Europea de Madrid,Privada,Facultad de CC,"C/ Tajo, s/n. Urbanización El Bosque. Edificio E 28670 VIllaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es,VIllaviciosa de Odón
Dirección Internacional de Negocios/ Bachelor in International Business Management,,,,"Avda. de Valdenigrales, s/n. 28224 Pozuelo de Alarcón (Madrid)",91 452 41 00,www.esic.edu/university,info.madrid@esic.edu,Pozuelo de Alarcón
Dirección Internacional de Negocios/ Bachelor in International Business Management,Universidad de Alcalá,Pública,"Facultad de Ciencias Económicas, Empresariales y Turismo Campus Histórico Plaza de la Victoria 28802 Alcalá de Henares (Madrid) Tels",,91 885 43 13,www.uah.es,secalum.economicas@uah.es,
Dirección Internacional de Negocios/ Bachelor in International Business Management,Universidad Antonio de Nebrija,Privada,Facultad de Economía y Empresa Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 01,www.nebrija.com,informa@nebrija.com,Madrid
Dirección Internacional de Negocios/ Bachelor in International Business Management,Universidad Francisco de Vitoria,Privada,"Facultad de Derecho, Empresa y Gobierno Ctra",,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es,
"Finanzas, Banca y Seguros Un",Universidad Complutense de Madrid,Pública,Facultad de Ciencias Económicas y Empresariales Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels,,91 394 29 99,www.ucm.es,informacion@ccee.ucm.es,
Contabilidad y Finanzas,Universidad de Alcalá,Pública,"Facultad de Ciencias Económicas, Empresariales y Turismo Campus Histórico Plaza de la Victoria, s/n 28802 Alcalá de Henares (Madrid) Tels",,91 885 43 13,www.uah.es/facultadcceeturismo,ciu@uah.es,
Contabilidad y Finanzas,Universidad Carlos III de Madrid,Pública,Facultad de Ciencias Sociales y Jurídicas Campus Getafe,"C/ Madrid, 126 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es,Getafe
Contabilidad y Finanzas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid,"Paseo Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es | mostoles.secretariadealumnos@urjc.es,Vicálvaro
Contabilidad y Finanzas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es | mostoles.secretariadealumnos@urjc.es,Fuenlabrada
Contabilidad y Finanzas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es | mostoles.secretariadealumnos@urjc.es,Móstoles
Economía Financiera y Actuarial,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid,"Paseo Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 70 26 / 91 488 78 00 / 91 664 74 35,www.urjc.es,madrid.secretariaalumnos@urjc.es | mostoles.secretariadealumnos@urjc.es,Vicálvaro
Economía Financiera y Actuarial,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 488 70 26 / 91 488 78 00 / 91 664 74 35,www.urjc.es,madrid.secretariaalumnos@urjc.es | mostoles.secretariadealumnos@urjc.es,Móstoles
Análisis de Negocios / Business Analytics / Analítica de Negocio,Universidad Francisco de Vitoria,Privada,"Facultad de Derecho, Empresa y Gobierno Ctra",,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es,
Análisis de Negocios / Business Analytics / Analítica de Negocio,Universidad Internacional de la EmpresaUNIE,Privada,Facultad de CC,C/ Príncipe de Vergara 108 28002 Madrid,,www.universidadunie.com,,Madrid
Magisterio en Educación Infantil,Universidad Alfonso X El Sabio,Privada,Facultad de Educación,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es,Villanueva de la Cañada
Magisterio en Educación Infantil,Universidad Antonio de Nebrija,Privada,Facultad de Ciencias Lenguas y Educación Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com,Madrid
Magisterio en Educación Infantil,Universidad Francisco de Vitoria,Privada,Facultad de Educación y Psicología Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es,
Magisterio en Educación Infantil,Universidad Pontificia Comillas,Privada,Facultad de Ciencias Humanas y Sociales Comillas Cantoblanco,"C/ Universidad de Comillas, 3 28049 Madrid",91 452 28 00,www.comillas.edu,grado@comillas.edu,Madrid
